TREE	ALN	ALNLEN	mean_BSS	median_BSS	evoRate
42994at147550.cds.clipkit.FT.tre	42994at147550.cds.clipkit	6609	0.864	0.864	0.0742
12772at147550.cds.clipkit.FT.tre	12772at147550.cds.clipkit	6570	0.889	0.889	0.0715
47182at147550.cds.clipkit.FT.tre	47182at147550.cds.clipkit	2703	0.8338	0.8338	0.0391
45299at147550.cds.clipkit.FT.tre	45299at147550.cds.clipkit	3132	0.8638	0.8638	0.1226
3727at147550.cds.clipkit.FT.tre	3727at147550.cds.clipkit	6645	0.8925	0.8925	0.0677
5969at147550.cds.clipkit.FT.tre	5969at147550.cds.clipkit	8946	0.8921	0.8921	0.0821
43880at147550.cds.clipkit.FT.tre	43880at147550.cds.clipkit	4290	0.884	0.884	0.0398
12856at147550.cds.clipkit.FT.tre	12856at147550.cds.clipkit	2838	0.8561	0.8561	0.1009
5807at147550.cds.clipkit.FT.tre	5807at147550.cds.clipkit	8739	0.8867	0.8867	0.0428
3898at147550.cds.clipkit.FT.tre	3898at147550.cds.clipkit	17493	0.9327	0.9327	0.1078
4095at147550.cds.clipkit.FT.tre	4095at147550.cds.clipkit	7674	0.9066	0.9066	0.0486
28802at147550.cds.clipkit.FT.tre	28802at147550.cds.clipkit	3618	0.9049	0.9049	0.1403
55994at147550.cds.clipkit.FT.tre	55994at147550.cds.clipkit	1524	0.8291	0.8291	0.0658
100586at147550.cds.clipkit.FT.tre	100586at147550.cds.clipkit	1086	0.7224	0.7224	0.0462
58890at147550.cds.clipkit.FT.tre	58890at147550.cds.clipkit	2304	0.8225	0.8225	0.0494
57007at147550.cds.clipkit.FT.tre	57007at147550.cds.clipkit	1473	0.7837	0.7837	0.0388
29069at147550.cds.clipkit.FT.tre	29069at147550.cds.clipkit	4089	0.8722	0.8722	0.063
43780at147550.cds.clipkit.FT.tre	43780at147550.cds.clipkit	2229	0.8176	0.8176	0.0365
50749at147550.cds.clipkit.FT.tre	50749at147550.cds.clipkit	2760	0.8562	0.8562	0.0694
28606at147550.cds.clipkit.FT.tre	28606at147550.cds.clipkit	6909	0.8312	0.8312	0.1398
491at147550.cds.clipkit.FT.tre	491at147550.cds.clipkit	12321	0.9266	0.9266	0.0488
41209at147550.cds.clipkit.FT.tre	41209at147550.cds.clipkit	2595	0.8579	0.8579	0.0674
100478at147550.cds.clipkit.FT.tre	100478at147550.cds.clipkit	3900	0.7868	0.7868	0.3544
51922at147550.cds.clipkit.FT.tre	51922at147550.cds.clipkit	2040	0.8308	0.8308	0.0327
12889at147550.cds.clipkit.FT.tre	12889at147550.cds.clipkit	8877	0.9314	0.9314	0.2264
59885at147550.cds.clipkit.FT.tre	59885at147550.cds.clipkit	3516	0.7454	0.7454	0.025
101747at147550.cds.clipkit.FT.tre	101747at147550.cds.clipkit	837	0.7844	0.7844	0.0382
50399at147550.cds.clipkit.FT.tre	50399at147550.cds.clipkit	2382	0.8267	0.8267	0.1059
109023at147550.cds.clipkit.FT.tre	109023at147550.cds.clipkit	3606	0.7829	0.7829	0.0722
106299at147550.cds.clipkit.FT.tre	106299at147550.cds.clipkit	606	0.7515	0.7515	0.0093
58456at147550.cds.clipkit.FT.tre	58456at147550.cds.clipkit	2007	0.8009	0.8009	0.0389
11129at147550.cds.clipkit.FT.tre	11129at147550.cds.clipkit	4644	0.8514	0.8514	0.0671
33993at147550.cds.clipkit.FT.tre	33993at147550.cds.clipkit	1629	0.8244	0.8244	0.042
46580at147550.cds.clipkit.FT.tre	46580at147550.cds.clipkit	1764	0.8203	0.8203	0.038
52429at147550.cds.clipkit.FT.tre	52429at147550.cds.clipkit	1965	0.8356	0.8356	0.035
4372at147550.cds.clipkit.FT.tre	4372at147550.cds.clipkit	6588	0.894	0.894	0.1292
107371at147550.cds.clipkit.FT.tre	107371at147550.cds.clipkit	312	0.6643	0.6643	0.0149
108893at147550.cds.clipkit.FT.tre	108893at147550.cds.clipkit	3000	0.7545	0.7545	0.1014
11090at147550.cds.clipkit.FT.tre	11090at147550.cds.clipkit	14508	0.8903	0.8903	0.042
30969at147550.cds.clipkit.FT.tre	30969at147550.cds.clipkit	4569	0.8781	0.8781	0.1467
11882at147550.cds.clipkit.FT.tre	11882at147550.cds.clipkit	8073	0.8542	0.8542	0.0637
27909at147550.cds.clipkit.FT.tre	27909at147550.cds.clipkit	3717	0.8733	0.8733	0.0978
100995at147550.cds.clipkit.FT.tre	100995at147550.cds.clipkit	1023	0.6897	0.6897	0.0226
59111at147550.cds.clipkit.FT.tre	59111at147550.cds.clipkit	1683	0.8318	0.8318	0.0359
54959at147550.cds.clipkit.FT.tre	54959at147550.cds.clipkit	2064	0.8371	0.8371	0.059
17166at147550.cds.clipkit.FT.tre	17166at147550.cds.clipkit	4839	0.8519	0.8519	0.0926
16168at147550.cds.clipkit.FT.tre	16168at147550.cds.clipkit	5580	0.8988	0.8988	0.0489
16680at147550.cds.clipkit.FT.tre	16680at147550.cds.clipkit	4521	0.8502	0.8502	0.0692
21278at147550.cds.clipkit.FT.tre	21278at147550.cds.clipkit	3261	0.8189	0.8189	0.0275
61818at147550.cds.clipkit.FT.tre	61818at147550.cds.clipkit	2292	0.8047	0.8047	0.0396
14616at147550.cds.clipkit.FT.tre	14616at147550.cds.clipkit	8040	0.9121	0.9121	0.1174
17366at147550.cds.clipkit.FT.tre	17366at147550.cds.clipkit	3099	0.8267	0.8267	0.0353
17471at147550.cds.clipkit.FT.tre	17471at147550.cds.clipkit	2154	0.846	0.846	0.0606
14399at147550.cds.clipkit.FT.tre	14399at147550.cds.clipkit	7005	0.8851	0.8851	0.0517
19955at147550.cds.clipkit.FT.tre	19955at147550.cds.clipkit	1890	0.8379	0.8379	0.0307
65648at147550.cds.clipkit.FT.tre	65648at147550.cds.clipkit	4851	0.8135	0.8135	0.0305
79490at147550.cds.clipkit.FT.tre	79490at147550.cds.clipkit	2595	0.7668	0.7668	0.022
9178at147550.cds.clipkit.FT.tre	9178at147550.cds.clipkit	7914	0.9152	0.9152	0.0898
69945at147550.cds.clipkit.FT.tre	69945at147550.cds.clipkit	4485	0.8262	0.8262	0.0484
19169at147550.cds.clipkit.FT.tre	19169at147550.cds.clipkit	3843	0.8644	0.8644	0.0568
66607at147550.cds.clipkit.FT.tre	66607at147550.cds.clipkit	3555	0.8649	0.8649	0.0721
60995at147550.cds.clipkit.FT.tre	60995at147550.cds.clipkit	1086	0.7962	0.7962	0.046
82898at147550.cds.clipkit.FT.tre	82898at147550.cds.clipkit	1119	0.7545	0.7545	0.0662
74190at147550.cds.clipkit.FT.tre	74190at147550.cds.clipkit	3453	0.8284	0.8284	0.0949
94949at147550.cds.clipkit.FT.tre	94949at147550.cds.clipkit	1530	0.7647	0.7647	0.0344
23738at147550.cds.clipkit.FT.tre	23738at147550.cds.clipkit	5025	0.893	0.893	0.0747
82219at147550.cds.clipkit.FT.tre	82219at147550.cds.clipkit	1215	0.7366	0.7366	0.0197
64675at147550.cds.clipkit.FT.tre	64675at147550.cds.clipkit	4044	0.861	0.861	0.0416
23427at147550.cds.clipkit.FT.tre	23427at147550.cds.clipkit	4935	0.8845	0.8845	0.041
1770at147550.cds.clipkit.FT.tre	1770at147550.cds.clipkit	15567	0.9271	0.9271	0.0661
73889at147550.cds.clipkit.FT.tre	73889at147550.cds.clipkit	1941	0.8246	0.8246	0.0523
75647at147550.cds.clipkit.FT.tre	75647at147550.cds.clipkit	1215	0.8234	0.8234	0.0489
61914at147550.cds.clipkit.FT.tre	61914at147550.cds.clipkit	5085	0.7813	0.7813	0.0188
86537at147550.cds.clipkit.FT.tre	86537at147550.cds.clipkit	3453	0.8824	0.8824	0.2265
79388at147550.cds.clipkit.FT.tre	79388at147550.cds.clipkit	1677	0.7732	0.7732	0.0267
16376at147550.cds.clipkit.FT.tre	16376at147550.cds.clipkit	2958	0.8352	0.8352	0.0669
66052at147550.cds.clipkit.FT.tre	66052at147550.cds.clipkit	1401	0.7633	0.7633	0.0345
85458at147550.cds.clipkit.FT.tre	85458at147550.cds.clipkit	1383	0.7543	0.7543	0.0358
84992at147550.cds.clipkit.FT.tre	84992at147550.cds.clipkit	2955	0.8096	0.8096	0.042
69609at147550.cds.clipkit.FT.tre	69609at147550.cds.clipkit	1758	0.7706	0.7706	0.0268
89883at147550.cds.clipkit.FT.tre	89883at147550.cds.clipkit	3237	0.8031	0.8031	0.0595
24193at147550.cds.clipkit.FT.tre	24193at147550.cds.clipkit	4077	0.8526	0.8526	0.0586
21933at147550.cds.clipkit.FT.tre	21933at147550.cds.clipkit	5691	0.8067	0.8067	0.0433
98813at147550.cds.clipkit.FT.tre	98813at147550.cds.clipkit	3948	0.7671	0.7671	0.0409
74291at147550.cds.clipkit.FT.tre	74291at147550.cds.clipkit	1767	0.8061	0.8061	0.0439
9220at147550.cds.clipkit.FT.tre	9220at147550.cds.clipkit	8259	0.8991	0.8991	0.0961
86834at147550.cds.clipkit.FT.tre	86834at147550.cds.clipkit	972	0.8168	0.8168	0.0888
23866at147550.cds.clipkit.FT.tre	23866at147550.cds.clipkit	7572	0.8983	0.8983	0.0883
76448at147550.cds.clipkit.FT.tre	76448at147550.cds.clipkit	1620	0.8111	0.8111	0.0413
81933at147550.cds.clipkit.FT.tre	81933at147550.cds.clipkit	2277	0.8247	0.8247	0.1946
91808at147550.cds.clipkit.FT.tre	91808at147550.cds.clipkit	2205	0.819	0.819	0.1005
82667at147550.cds.clipkit.FT.tre	82667at147550.cds.clipkit	1488	0.7956	0.7956	0.0658
69901at147550.cds.clipkit.FT.tre	69901at147550.cds.clipkit	1635	0.8115	0.8115	0.0586
94229at147550.cds.clipkit.FT.tre	94229at147550.cds.clipkit	642	0.7017	0.7017	0.0233
18800at147550.cds.clipkit.FT.tre	18800at147550.cds.clipkit	6354	0.8842	0.8842	0.0687
89905at147550.cds.clipkit.FT.tre	89905at147550.cds.clipkit	5460	0.8778	0.8778	0.0924
9651at147550.cds.clipkit.FT.tre	9651at147550.cds.clipkit	10674	0.8959	0.8959	0.0523
95994at147550.cds.clipkit.FT.tre	95994at147550.cds.clipkit	822	0.7807	0.7807	0.0361
84727at147550.cds.clipkit.FT.tre	84727at147550.cds.clipkit	4890	0.8907	0.8907	0.2937
66726at147550.cds.clipkit.FT.tre	66726at147550.cds.clipkit	1245	0.7678	0.7678	0.0446
66814at147550.cds.clipkit.FT.tre	66814at147550.cds.clipkit	5325	0.8636	0.8636	0.0598
84898at147550.cds.clipkit.FT.tre	84898at147550.cds.clipkit	4947	0.8271	0.8271	0.0569
79900at147550.cds.clipkit.FT.tre	79900at147550.cds.clipkit	1344	0.7573	0.7573	0.0341
7077at147550.cds.clipkit.FT.tre	7077at147550.cds.clipkit	3777	0.8649	0.8649	0.039
89039at147550.cds.clipkit.FT.tre	89039at147550.cds.clipkit	1359	0.8141	0.8141	0.0727
89288at147550.cds.clipkit.FT.tre	89288at147550.cds.clipkit	705	0.7772	0.7772	0.043
98894at147550.cds.clipkit.FT.tre	98894at147550.cds.clipkit	918	0.7575	0.7575	0.0592
79901at147550.cds.clipkit.FT.tre	79901at147550.cds.clipkit	2685	0.7991	0.7991	0.0544
98256at147550.cds.clipkit.FT.tre	98256at147550.cds.clipkit	918	0.8314	0.8314	0.1244
99290at147550.cds.clipkit.FT.tre	99290at147550.cds.clipkit	1623	0.8142	0.8142	0.0655
100350at147550.cds.clipkit.FT.tre	100350at147550.cds.clipkit	555	0.6123	0.6123	0.0087
100181at147550.cds.clipkit.FT.tre	100181at147550.cds.clipkit	975	0.6968	0.6968	0.0302
99549at147550.cds.clipkit.FT.tre	99549at147550.cds.clipkit	927	0.7019	0.7019	0.042
100468at147550.cds.clipkit.FT.tre	100468at147550.cds.clipkit	1635	0.6725	0.6725	0.0125
100711at147550.cds.clipkit.FT.tre	100711at147550.cds.clipkit	1071	0.751	0.751	0.0481
100150at147550.cds.clipkit.FT.tre	100150at147550.cds.clipkit	417	0.639	0.639	0.017
100924at147550.cds.clipkit.FT.tre	100924at147550.cds.clipkit	3015	0.7503	0.7503	0.0298
100187at147550.cds.clipkit.FT.tre	100187at147550.cds.clipkit	2001	0.7763	0.7763	0.0497
100017at147550.cds.clipkit.FT.tre	100017at147550.cds.clipkit	2229	0.8482	0.8482	0.0421
100882at147550.cds.clipkit.FT.tre	100882at147550.cds.clipkit	1656	0.815	0.815	0.0738
100035at147550.cds.clipkit.FT.tre	100035at147550.cds.clipkit	504	0.628	0.628	0.0152
10039at147550.cds.clipkit.FT.tre	10039at147550.cds.clipkit	7854	0.8798	0.8798	0.0527
101059at147550.cds.clipkit.FT.tre	101059at147550.cds.clipkit	642	0.7702	0.7702	0.0807
100941at147550.cds.clipkit.FT.tre	100941at147550.cds.clipkit	885	0.7791	0.7791	0.0588
99292at147550.cds.clipkit.FT.tre	99292at147550.cds.clipkit	999	0.7848	0.7848	0.0737
101146at147550.cds.clipkit.FT.tre	101146at147550.cds.clipkit	1071	0.7857	0.7857	0.0504
101161at147550.cds.clipkit.FT.tre	101161at147550.cds.clipkit	1020	0.7686	0.7686	0.0572
101452at147550.cds.clipkit.FT.tre	101452at147550.cds.clipkit	1017	0.8292	0.8292	0.0503
100979at147550.cds.clipkit.FT.tre	100979at147550.cds.clipkit	642	0.6828	0.6828	0.0166
101240at147550.cds.clipkit.FT.tre	101240at147550.cds.clipkit	990	0.7526	0.7526	0.0471
10154at147550.cds.clipkit.FT.tre	10154at147550.cds.clipkit	4263	0.8661	0.8661	0.1003
101153at147550.cds.clipkit.FT.tre	101153at147550.cds.clipkit	1734	0.8047	0.8047	0.0741
100950at147550.cds.clipkit.FT.tre	100950at147550.cds.clipkit	1248	0.7788	0.7788	0.0353
100624at147550.cds.clipkit.FT.tre	100624at147550.cds.clipkit	675	0.762	0.762	0.0309
101518at147550.cds.clipkit.FT.tre	101518at147550.cds.clipkit	2577	0.7473	0.7473	0.0337
100863at147550.cds.clipkit.FT.tre	100863at147550.cds.clipkit	1158	0.7878	0.7878	0.0788
100977at147550.cds.clipkit.FT.tre	100977at147550.cds.clipkit	1266	0.7765	0.7765	0.0366
100368at147550.cds.clipkit.FT.tre	100368at147550.cds.clipkit	633	0.7143	0.7143	0.0277
101362at147550.cds.clipkit.FT.tre	101362at147550.cds.clipkit	3489	0.8536	0.8536	0.083
101414at147550.cds.clipkit.FT.tre	101414at147550.cds.clipkit	687	0.717	0.717	0.03
100431at147550.cds.clipkit.FT.tre	100431at147550.cds.clipkit	2244	0.8248	0.8248	0.0754
101839at147550.cds.clipkit.FT.tre	101839at147550.cds.clipkit	465	0.6733	0.6733	0.0161
101180at147550.cds.clipkit.FT.tre	101180at147550.cds.clipkit	5127	0.8903	0.8903	0.2153
10155at147550.cds.clipkit.FT.tre	10155at147550.cds.clipkit	5841	0.8607	0.8607	0.0349
100843at147550.cds.clipkit.FT.tre	100843at147550.cds.clipkit	1089	0.8214	0.8214	0.0895
102056at147550.cds.clipkit.FT.tre	102056at147550.cds.clipkit	3255	0.8509	0.8509	0.0765
101084at147550.cds.clipkit.FT.tre	101084at147550.cds.clipkit	3732	0.8375	0.8375	0.1507
102143at147550.cds.clipkit.FT.tre	102143at147550.cds.clipkit	972	0.7608	0.7608	0.0304
101885at147550.cds.clipkit.FT.tre	101885at147550.cds.clipkit	768	0.7243	0.7243	0.0574
102136at147550.cds.clipkit.FT.tre	102136at147550.cds.clipkit	630	0.7062	0.7062	0.0097
100164at147550.cds.clipkit.FT.tre	100164at147550.cds.clipkit	789	0.7368	0.7368	0.0455
10215at147550.cds.clipkit.FT.tre	10215at147550.cds.clipkit	8631	0.9201	0.9201	0.2192
102064at147550.cds.clipkit.FT.tre	102064at147550.cds.clipkit	1281	0.8054	0.8054	0.1259
100597at147550.cds.clipkit.FT.tre	100597at147550.cds.clipkit	2043	0.8229	0.8229	0.0684
101478at147550.cds.clipkit.FT.tre	101478at147550.cds.clipkit	2727	0.867	0.867	0.0838
101582at147550.cds.clipkit.FT.tre	101582at147550.cds.clipkit	687	0.7421	0.7421	0.0411
101480at147550.cds.clipkit.FT.tre	101480at147550.cds.clipkit	618	0.7469	0.7469	0.0294
10192at147550.cds.clipkit.FT.tre	10192at147550.cds.clipkit	6390	0.9165	0.9165	0.2013
101286at147550.cds.clipkit.FT.tre	101286at147550.cds.clipkit	1017	0.7715	0.7715	0.0554
101388at147550.cds.clipkit.FT.tre	101388at147550.cds.clipkit	408	0.6604	0.6604	0.0131
101845at147550.cds.clipkit.FT.tre	101845at147550.cds.clipkit	1230	0.8243	0.8243	0.0589
99941at147550.cds.clipkit.FT.tre	99941at147550.cds.clipkit	729	0.7337	0.7337	0.02
100149at147550.cds.clipkit.FT.tre	100149at147550.cds.clipkit	531	0.7352	0.7352	0.0321
101948at147550.cds.clipkit.FT.tre	101948at147550.cds.clipkit	1053	0.8232	0.8232	0.2754
101878at147550.cds.clipkit.FT.tre	101878at147550.cds.clipkit	1152	0.7809	0.7809	0.0521
101635at147550.cds.clipkit.FT.tre	101635at147550.cds.clipkit	1551	0.8043	0.8043	0.0377
101440at147550.cds.clipkit.FT.tre	101440at147550.cds.clipkit	1101	0.7717	0.7717	0.0422
101960at147550.cds.clipkit.FT.tre	101960at147550.cds.clipkit	2553	0.7715	0.7715	0.0378
102209at147550.cds.clipkit.FT.tre	102209at147550.cds.clipkit	1557	0.7793	0.7793	0.0341
101536at147550.cds.clipkit.FT.tre	101536at147550.cds.clipkit	768	0.7751	0.7751	0.0444
102299at147550.cds.clipkit.FT.tre	102299at147550.cds.clipkit	1083	0.8307	0.8307	0.1051
101579at147550.cds.clipkit.FT.tre	101579at147550.cds.clipkit	828	0.7071	0.7071	0.0167
102251at147550.cds.clipkit.FT.tre	102251at147550.cds.clipkit	753	0.7859	0.7859	0.0415
102419at147550.cds.clipkit.FT.tre	102419at147550.cds.clipkit	2037	0.803	0.803	0.0424
10235at147550.cds.clipkit.FT.tre	10235at147550.cds.clipkit	12963	0.9119	0.9119	0.053
102387at147550.cds.clipkit.FT.tre	102387at147550.cds.clipkit	2226	0.7774	0.7774	0.0679
102329at147550.cds.clipkit.FT.tre	102329at147550.cds.clipkit	3501	0.7866	0.7866	0.0306
102512at147550.cds.clipkit.FT.tre	102512at147550.cds.clipkit	657	0.7832	0.7832	0.0551
102831at147550.cds.clipkit.FT.tre	102831at147550.cds.clipkit	1146	0.7564	0.7564	0.0388
102875at147550.cds.clipkit.FT.tre	102875at147550.cds.clipkit	807	0.6961	0.6961	0.0264
10348at147550.cds.clipkit.FT.tre	10348at147550.cds.clipkit	3228	0.8719	0.8719	0.0697
102584at147550.cds.clipkit.FT.tre	102584at147550.cds.clipkit	2436	0.8496	0.8496	0.0651
102451at147550.cds.clipkit.FT.tre	102451at147550.cds.clipkit	2187	0.7296	0.7296	0.0272
10315at147550.cds.clipkit.FT.tre	10315at147550.cds.clipkit	3684	0.8672	0.8672	0.058
103085at147550.cds.clipkit.FT.tre	103085at147550.cds.clipkit	822	0.6442	0.6442	0.0098
103234at147550.cds.clipkit.FT.tre	103234at147550.cds.clipkit	849	0.6632	0.6632	0.018
104467at147550.cds.clipkit.FT.tre	104467at147550.cds.clipkit	885	0.7058	0.7058	0.0435
103769at147550.cds.clipkit.FT.tre	103769at147550.cds.clipkit	1059	0.7716	0.7716	0.0555
102973at147550.cds.clipkit.FT.tre	102973at147550.cds.clipkit	1311	0.7614	0.7614	0.0545
104354at147550.cds.clipkit.FT.tre	104354at147550.cds.clipkit	1365	0.797	0.797	0.0588
103405at147550.cds.clipkit.FT.tre	103405at147550.cds.clipkit	687	0.7386	0.7386	0.0401
102654at147550.cds.clipkit.FT.tre	102654at147550.cds.clipkit	1233	0.7404	0.7404	0.0418
103692at147550.cds.clipkit.FT.tre	103692at147550.cds.clipkit	4197	0.8506	0.8506	0.0702
102739at147550.cds.clipkit.FT.tre	102739at147550.cds.clipkit	1143	0.7881	0.7881	0.0578
103443at147550.cds.clipkit.FT.tre	103443at147550.cds.clipkit	2277	0.7867	0.7867	0.0585
10418at147550.cds.clipkit.FT.tre	10418at147550.cds.clipkit	2559	0.7791	0.7791	0.017
104283at147550.cds.clipkit.FT.tre	104283at147550.cds.clipkit	693	0.7136	0.7136	0.0332
104385at147550.cds.clipkit.FT.tre	104385at147550.cds.clipkit	1905	0.8143	0.8143	0.0489
103078at147550.cds.clipkit.FT.tre	103078at147550.cds.clipkit	948	0.7297	0.7297	0.0325
104284at147550.cds.clipkit.FT.tre	104284at147550.cds.clipkit	672	0.6914	0.6914	0.0253
104092at147550.cds.clipkit.FT.tre	104092at147550.cds.clipkit	1803	0.7734	0.7734	0.0517
103644at147550.cds.clipkit.FT.tre	103644at147550.cds.clipkit	1272	0.8356	0.8356	0.0773
103235at147550.cds.clipkit.FT.tre	103235at147550.cds.clipkit	717	0.7718	0.7718	0.0372
102552at147550.cds.clipkit.FT.tre	102552at147550.cds.clipkit	1308	0.7321	0.7321	0.0309
102953at147550.cds.clipkit.FT.tre	102953at147550.cds.clipkit	900	0.7557	0.7557	0.1055
103908at147550.cds.clipkit.FT.tre	103908at147550.cds.clipkit	2013	0.7674	0.7674	0.0311
103881at147550.cds.clipkit.FT.tre	103881at147550.cds.clipkit	1029	0.7907	0.7907	0.0662
104244at147550.cds.clipkit.FT.tre	104244at147550.cds.clipkit	3375	0.8201	0.8201	0.0505
103384at147550.cds.clipkit.FT.tre	103384at147550.cds.clipkit	960	0.7124	0.7124	0.0275
103532at147550.cds.clipkit.FT.tre	103532at147550.cds.clipkit	1752	0.8548	0.8548	0.1565
104208at147550.cds.clipkit.FT.tre	104208at147550.cds.clipkit	2481	0.7788	0.7788	0.0479
10397at147550.cds.clipkit.FT.tre	10397at147550.cds.clipkit	4998	0.8946	0.8946	0.149
103402at147550.cds.clipkit.FT.tre	103402at147550.cds.clipkit	1848	0.6971	0.6971	0.0163
104321at147550.cds.clipkit.FT.tre	104321at147550.cds.clipkit	1002	0.7839	0.7839	0.0407
103344at147550.cds.clipkit.FT.tre	103344at147550.cds.clipkit	2079	0.7677	0.7677	0.0391
10441at147550.cds.clipkit.FT.tre	10441at147550.cds.clipkit	7890	0.9044	0.9044	0.1284
10458at147550.cds.clipkit.FT.tre	10458at147550.cds.clipkit	5907	0.9049	0.9049	0.0952
103392at147550.cds.clipkit.FT.tre	103392at147550.cds.clipkit	444	0.6852	0.6852	0.0223
103238at147550.cds.clipkit.FT.tre	103238at147550.cds.clipkit	591	0.7637	0.7637	0.0466
104378at147550.cds.clipkit.FT.tre	104378at147550.cds.clipkit	1785	0.8403	0.8403	0.1473
103377at147550.cds.clipkit.FT.tre	103377at147550.cds.clipkit	1911	0.8438	0.8438	0.1085
103495at147550.cds.clipkit.FT.tre	103495at147550.cds.clipkit	5061	0.831	0.831	0.0517
103179at147550.cds.clipkit.FT.tre	103179at147550.cds.clipkit	783	0.739	0.739	0.0491
102697at147550.cds.clipkit.FT.tre	102697at147550.cds.clipkit	513	0.6817	0.6817	0.0288
103510at147550.cds.clipkit.FT.tre	103510at147550.cds.clipkit	636	0.6943	0.6943	0.0246
104225at147550.cds.clipkit.FT.tre	104225at147550.cds.clipkit	1185	0.7926	0.7926	0.0609
104567at147550.cds.clipkit.FT.tre	104567at147550.cds.clipkit	1230	0.741	0.741	0.0252
104050at147550.cds.clipkit.FT.tre	104050at147550.cds.clipkit	1038	0.7529	0.7529	0.0333
102998at147550.cds.clipkit.FT.tre	102998at147550.cds.clipkit	1422	0.8083	0.8083	0.0527
102932at147550.cds.clipkit.FT.tre	102932at147550.cds.clipkit	1506	0.7765	0.7765	0.0371
103304at147550.cds.clipkit.FT.tre	103304at147550.cds.clipkit	738	0.7133	0.7133	0.023
104633at147550.cds.clipkit.FT.tre	104633at147550.cds.clipkit	1032	0.7227	0.7227	0.0337
10462at147550.cds.clipkit.FT.tre	10462at147550.cds.clipkit	8898	0.889	0.889	0.0838
104642at147550.cds.clipkit.FT.tre	104642at147550.cds.clipkit	3150	0.7942	0.7942	0.0612
104430at147550.cds.clipkit.FT.tre	104430at147550.cds.clipkit	1992	0.8603	0.8603	0.1268
104558at147550.cds.clipkit.FT.tre	104558at147550.cds.clipkit	498	0.6927	0.6927	0.0306
104381at147550.cds.clipkit.FT.tre	104381at147550.cds.clipkit	999	0.8038	0.8038	0.0441
104757at147550.cds.clipkit.FT.tre	104757at147550.cds.clipkit	2730	0.8352	0.8352	0.1394
104971at147550.cds.clipkit.FT.tre	104971at147550.cds.clipkit	687	0.765	0.765	0.0549
104906at147550.cds.clipkit.FT.tre	104906at147550.cds.clipkit	1218	0.7862	0.7862	0.0936
105291at147550.cds.clipkit.FT.tre	105291at147550.cds.clipkit	492	0.7697	0.7697	0.0492
105078at147550.cds.clipkit.FT.tre	105078at147550.cds.clipkit	1914	0.7353	0.7353	0.049
104922at147550.cds.clipkit.FT.tre	104922at147550.cds.clipkit	3252	0.8357	0.8357	0.0453
104925at147550.cds.clipkit.FT.tre	104925at147550.cds.clipkit	1812	0.8181	0.8181	0.1193
105296at147550.cds.clipkit.FT.tre	105296at147550.cds.clipkit	999	0.6934	0.6934	0.0269
105177at147550.cds.clipkit.FT.tre	105177at147550.cds.clipkit	2178	0.8101	0.8101	0.0487
105902at147550.cds.clipkit.FT.tre	105902at147550.cds.clipkit	678	0.7572	0.7572	0.0683
10549at147550.cds.clipkit.FT.tre	10549at147550.cds.clipkit	6165	0.8979	0.8979	0.056
104765at147550.cds.clipkit.FT.tre	104765at147550.cds.clipkit	1101	0.7656	0.7656	0.0392
10526at147550.cds.clipkit.FT.tre	10526at147550.cds.clipkit	7374	0.8874	0.8874	0.0708
105293at147550.cds.clipkit.FT.tre	105293at147550.cds.clipkit	915	0.6981	0.6981	0.0341
