TREE	ALN	ALNLEN	mean_BSS	median_BSS	evoRate
28961at147550.cds.clipkit.FT.tre	28961at147550.cds.clipkit	7695	0.8953	0.8953	0.1289
39860at147550.cds.clipkit.FT.tre	39860at147550.cds.clipkit	5439	0.8593	0.8593	0.1602
21621at147550.cds.clipkit.FT.tre	21621at147550.cds.clipkit	7038	0.8626	0.8626	0.1214
56220at147550.cds.clipkit.FT.tre	56220at147550.cds.clipkit	6972	0.8925	0.8925	0.1525
32604at147550.cds.clipkit.FT.tre	32604at147550.cds.clipkit	5031	0.9023	0.9023	0.1188
833at147550.cds.clipkit.FT.tre	833at147550.cds.clipkit	16305	0.9387	0.9387	0.1411
30816at147550.cds.clipkit.FT.tre	30816at147550.cds.clipkit	6831	0.8594	0.8594	0.1053
3898at147550.cds.clipkit.FT.tre	3898at147550.cds.clipkit	17493	0.9327	0.9327	0.10780000000000001
12889at147550.cds.clipkit.FT.tre	12889at147550.cds.clipkit	8877	0.9314	0.9314	0.2264
84893at147550.cds.clipkit.FT.tre	84893at147550.cds.clipkit	6231	0.8148	0.8148	0.1904
4968at147550.cds.clipkit.FT.tre	4968at147550.cds.clipkit	16551	0.9231	0.9231	0.2435
44465at147550.cds.clipkit.FT.tre	44465at147550.cds.clipkit	5868	0.8171	0.8171	0.0179
57213at147550.cds.clipkit.FT.tre	57213at147550.cds.clipkit	7749	0.8951	0.8951	0.1282
5636at147550.cds.clipkit.FT.tre	5636at147550.cds.clipkit	6858	0.9027	0.9027	0.1305
3031at147550.cds.clipkit.FT.tre	3031at147550.cds.clipkit	6327	0.9127	0.9127	0.1267
7411at147550.cds.clipkit.FT.tre	7411at147550.cds.clipkit	8745	0.9037	0.9037	0.1484
16633at147550.cds.clipkit.FT.tre	16633at147550.cds.clipkit	8313	0.9283	0.9283	0.1366
79766at147550.cds.clipkit.FT.tre	79766at147550.cds.clipkit	5586	0.8823	0.8823	0.2654
19571at147550.cds.clipkit.FT.tre	19571at147550.cds.clipkit	7608	0.9271	0.9271	0.1072
8321at147550.cds.clipkit.FT.tre	8321at147550.cds.clipkit	11121	0.889	0.889	0.1108
39873at147550.cds.clipkit.FT.tre	39873at147550.cds.clipkit	6048	0.905	0.905	0.1519
77415at147550.cds.clipkit.FT.tre	77415at147550.cds.clipkit	12384	0.8956	0.8956	0.1373
14616at147550.cds.clipkit.FT.tre	14616at147550.cds.clipkit	8040	0.9121	0.9121	0.1174
60978at147550.cds.clipkit.FT.tre	60978at147550.cds.clipkit	6138	0.9111	0.9111	0.1061
13743at147550.cds.clipkit.FT.tre	13743at147550.cds.clipkit	6231	0.8942	0.8942	0.1172
8986at147550.cds.clipkit.FT.tre	8986at147550.cds.clipkit	7812	0.8974	0.8974	0.1323
39133at147550.cds.clipkit.FT.tre	39133at147550.cds.clipkit	5511	0.8932	0.8932	0.1486
15580at147550.cds.clipkit.FT.tre	15580at147550.cds.clipkit	9231	0.9068	0.9068	0.1155
13030at147550.cds.clipkit.FT.tre	13030at147550.cds.clipkit	10200	0.9093	0.9093	0.1179
34948at147550.cds.clipkit.FT.tre	34948at147550.cds.clipkit	7320	0.8893	0.8893	0.1049
21886at147550.cds.clipkit.FT.tre	21886at147550.cds.clipkit	8304	0.8613	0.8613	0.1371
20778at147550.cds.clipkit.FT.tre	20778at147550.cds.clipkit	5412	0.8892	0.8892	0.1064
30690at147550.cds.clipkit.FT.tre	30690at147550.cds.clipkit	5769	0.8893	0.8893	0.1519
12516at147550.cds.clipkit.FT.tre	12516at147550.cds.clipkit	8052	0.9082	0.9082	0.1628
58393at147550.cds.clipkit.FT.tre	58393at147550.cds.clipkit	7617	0.8952	0.8952	0.1198
