TREE	ALN	ALNLEN	mean_BSS	median_BSS	evoRate
9271at147550.aa.clipkit.FT.tre	9271at147550.aa.clipkit	1403	0.8227	0.8227	0.0705
58874at147550.aa.clipkit.FT.tre	58874at147550.aa.clipkit	384	0.7123	0.7123	0.0283
103948at147550.aa.clipkit.FT.tre	103948at147550.aa.clipkit	280	0.6986	0.6986	0.0687
90859at147550.aa.clipkit.FT.tre	90859at147550.aa.clipkit	246	0.7721	0.7721	0.1288
88225at147550.aa.clipkit.FT.tre	88225at147550.aa.clipkit	378	0.6841	0.6841	0.0684
97588at147550.aa.clipkit.FT.tre	97588at147550.aa.clipkit	275	0.6592	0.6592	0.0654
78088at147550.aa.clipkit.FT.tre	78088at147550.aa.clipkit	261	0.6009	0.6009	0.0157
37279at147550.aa.clipkit.FT.tre	37279at147550.aa.clipkit	813	0.7983	0.7983	0.1587
79238at147550.aa.clipkit.FT.tre	79238at147550.aa.clipkit	292	0.7181	0.7181	0.0713
49830at147550.aa.clipkit.FT.tre	49830at147550.aa.clipkit	685	0.699	0.699	0.1222
108159at147550.aa.clipkit.FT.tre	108159at147550.aa.clipkit	313	0.7246	0.7246	0.0961
94948at147550.aa.clipkit.FT.tre	94948at147550.aa.clipkit	236	0.6807	0.6807	0.0317
80408at147550.aa.clipkit.FT.tre	80408at147550.aa.clipkit	314	0.7055	0.7055	0.045
93845at147550.aa.clipkit.FT.tre	93845at147550.aa.clipkit	220	0.6559	0.6559	0.0388
20863at147550.aa.clipkit.FT.tre	20863at147550.aa.clipkit	1019	0.7549	0.7549	0.0916
11073at147550.aa.clipkit.FT.tre	11073at147550.aa.clipkit	1298	0.8481	0.8481	0.0908
110089at147550.aa.clipkit.FT.tre	110089at147550.aa.clipkit	207	0.7369	0.7369	0.0639
36163at147550.aa.clipkit.FT.tre	36163at147550.aa.clipkit	649	0.7371	0.7371	0.0616
46128at147550.aa.clipkit.FT.tre	46128at147550.aa.clipkit	415	0.7084	0.7084	0.036
49037at147550.aa.clipkit.FT.tre	49037at147550.aa.clipkit	890	0.8113	0.8113	0.2548
11701at147550.aa.clipkit.FT.tre	11701at147550.aa.clipkit	1409	0.8796	0.8796	0.1051
100181at147550.aa.clipkit.FT.tre	100181at147550.aa.clipkit	125	0.5916	0.5916	0.0285
48393at147550.aa.clipkit.FT.tre	48393at147550.aa.clipkit	811	0.8025	0.8025	0.0569
55364at147550.aa.clipkit.FT.tre	55364at147550.aa.clipkit	494	0.7417	0.7417	0.0624
108059at147550.aa.clipkit.FT.tre	108059at147550.aa.clipkit	242	0.7442	0.7442	0.1505
101985at147550.aa.clipkit.FT.tre	101985at147550.aa.clipkit	409	0.7925	0.7925	0.1579
44580at147550.aa.clipkit.FT.tre	44580at147550.aa.clipkit	542	0.7493	0.7493	0.0722
98342at147550.aa.clipkit.FT.tre	98342at147550.aa.clipkit	239	0.7949	0.7949	0.1247
58261at147550.aa.clipkit.FT.tre	58261at147550.aa.clipkit	629	0.6481	0.6481	0.0647
23801at147550.aa.clipkit.FT.tre	23801at147550.aa.clipkit	573	0.7103	0.7103	0.0446
98339at147550.aa.clipkit.FT.tre	98339at147550.aa.clipkit	283	0.6619	0.6619	0.0546
86126at147550.aa.clipkit.FT.tre	86126at147550.aa.clipkit	236	0.6235	0.6235	0.0251
58101at147550.aa.clipkit.FT.tre	58101at147550.aa.clipkit	519	0.7147	0.7147	0.0675
67749at147550.aa.clipkit.FT.tre	67749at147550.aa.clipkit	315	0.7305	0.7305	0.031
98818at147550.aa.clipkit.FT.tre	98818at147550.aa.clipkit	149	0.6467	0.6467	0.0093
80317at147550.aa.clipkit.FT.tre	80317at147550.aa.clipkit	389	0.6869	0.6869	0.0356
98431at147550.aa.clipkit.FT.tre	98431at147550.aa.clipkit	265	0.7219	0.7219	0.0546
12958at147550.aa.clipkit.FT.tre	12958at147550.aa.clipkit	946	0.7373	0.7373	0.0256
17067at147550.aa.clipkit.FT.tre	17067at147550.aa.clipkit	1457	0.8685	0.8685	0.2466
11859at147550.aa.clipkit.FT.tre	11859at147550.aa.clipkit	949	0.8607	0.8607	0.1566
2779at147550.aa.clipkit.FT.tre	2779at147550.aa.clipkit	1799	0.8179	0.8179	0.1034
101536at147550.aa.clipkit.FT.tre	101536at147550.aa.clipkit	204	0.612	0.612	0.0311
104971at147550.aa.clipkit.FT.tre	104971at147550.aa.clipkit	154	0.6881	0.6881	0.0833
21080at147550.aa.clipkit.FT.tre	21080at147550.aa.clipkit	588	0.6559	0.6559	0.0224
103709at147550.aa.clipkit.FT.tre	103709at147550.aa.clipkit	89	0.6741	0.6741	0.0077
13606at147550.aa.clipkit.FT.tre	13606at147550.aa.clipkit	814	0.7589	0.7589	0.0273
19628at147550.aa.clipkit.FT.tre	19628at147550.aa.clipkit	752	0.6974	0.6974	0.0918
19583at147550.aa.clipkit.FT.tre	19583at147550.aa.clipkit	622	0.7279	0.7279	0.0573
106334at147550.aa.clipkit.FT.tre	106334at147550.aa.clipkit	163	0.6921	0.6921	0.1134
17186at147550.aa.clipkit.FT.tre	17186at147550.aa.clipkit	945	0.8497	0.8497	0.2201
21626at147550.aa.clipkit.FT.tre	21626at147550.aa.clipkit	1170	0.8172	0.8172	0.0816
31407at147550.aa.clipkit.FT.tre	31407at147550.aa.clipkit	689	0.7282	0.7282	0.1512
10192at147550.aa.clipkit.FT.tre	10192at147550.aa.clipkit	1620	0.8652	0.8652	0.2812
103377at147550.aa.clipkit.FT.tre	103377at147550.aa.clipkit	360	0.7859	0.7859	0.1247
101839at147550.aa.clipkit.FT.tre	101839at147550.aa.clipkit	107	0.6894	0.6894	0.0134
108991at147550.aa.clipkit.FT.tre	108991at147550.aa.clipkit	156	0.6773	0.6773	0.0818
106694at147550.aa.clipkit.FT.tre	106694at147550.aa.clipkit	106	0.693	0.693	0.0054
104615at147550.aa.clipkit.FT.tre	104615at147550.aa.clipkit	125	0.6829	0.6829	0.0063
80565at147550.aa.clipkit.FT.tre	80565at147550.aa.clipkit	471	0.7818	0.7818	0.0678
23548at147550.aa.clipkit.FT.tre	23548at147550.aa.clipkit	613	0.7451	0.7451	0.0439
10596at147550.aa.clipkit.FT.tre	10596at147550.aa.clipkit	1122	0.7406	0.7406	0.0443
107926at147550.aa.clipkit.FT.tre	107926at147550.aa.clipkit	147	0.7029	0.7029	0.0423
64928at147550.aa.clipkit.FT.tre	64928at147550.aa.clipkit	378	0.7114	0.7114	0.0365
105945at147550.aa.clipkit.FT.tre	105945at147550.aa.clipkit	97	0.5791	0.5791	0.0104
102973at147550.aa.clipkit.FT.tre	102973at147550.aa.clipkit	198	0.642	0.642	0.0199
101362at147550.aa.clipkit.FT.tre	101362at147550.aa.clipkit	617	0.8301	0.8301	0.1144
28395at147550.aa.clipkit.FT.tre	28395at147550.aa.clipkit	564	0.741	0.741	0.0477
109058at147550.aa.clipkit.FT.tre	109058at147550.aa.clipkit	96	0.6073	0.6073	0.0098
104098at147550.aa.clipkit.FT.tre	104098at147550.aa.clipkit	125	0.6989	0.6989	0.0294
10980at147550.aa.clipkit.FT.tre	10980at147550.aa.clipkit	971	0.6723	0.6723	0.0129
101948at147550.aa.clipkit.FT.tre	101948at147550.aa.clipkit	312	0.7748	0.7748	0.322
107941at147550.aa.clipkit.FT.tre	107941at147550.aa.clipkit	143	0.5377	0.5377	0.0459
109068at147550.aa.clipkit.FT.tre	109068at147550.aa.clipkit	115	0.6668	0.6668	0.0323
103769at147550.aa.clipkit.FT.tre	103769at147550.aa.clipkit	233	0.649	0.649	0.0656
101579at147550.aa.clipkit.FT.tre	101579at147550.aa.clipkit	129	0.6997	0.6997	0.0054
27494at147550.aa.clipkit.FT.tre	27494at147550.aa.clipkit	843	0.7863	0.7863	0.0919
92849at147550.aa.clipkit.FT.tre	92849at147550.aa.clipkit	241	0.7418	0.7418	0.035
32289at147550.aa.clipkit.FT.tre	32289at147550.aa.clipkit	723	0.8158	0.8158	0.1032
110180at147550.aa.clipkit.FT.tre	110180at147550.aa.clipkit	165	0.7228	0.7228	0.0931
34948at147550.aa.clipkit.FT.tre	34948at147550.aa.clipkit	1414	0.859	0.859	0.1693
108394at147550.aa.clipkit.FT.tre	108394at147550.aa.clipkit	285	0.6401	0.6401	0.0673
109841at147550.aa.clipkit.FT.tre	109841at147550.aa.clipkit	123	0.69	0.69	0.0449
110026at147550.aa.clipkit.FT.tre	110026at147550.aa.clipkit	119	0.6921	0.6921	0.006
105927at147550.aa.clipkit.FT.tre	105927at147550.aa.clipkit	709	0.7691	0.7691	0.0927
107665at147550.aa.clipkit.FT.tre	107665at147550.aa.clipkit	228	0.7293	0.7293	0.1173
102739at147550.aa.clipkit.FT.tre	102739at147550.aa.clipkit	229	0.6609	0.6609	0.0598
106152at147550.aa.clipkit.FT.tre	106152at147550.aa.clipkit	81	0.682	0.682	0.0114
10397at147550.aa.clipkit.FT.tre	10397at147550.aa.clipkit	1270	0.8541	0.8541	0.2317
102697at147550.aa.clipkit.FT.tre	102697at147550.aa.clipkit	160	0.5604	0.5604	0.01
107733at147550.aa.clipkit.FT.tre	107733at147550.aa.clipkit	446	0.7926	0.7926	0.1059
106593at147550.aa.clipkit.FT.tre	106593at147550.aa.clipkit	89	0.645	0.645	0.011
105693at147550.aa.clipkit.FT.tre	105693at147550.aa.clipkit	116	0.6361	0.6361	0.0043
103908at147550.aa.clipkit.FT.tre	103908at147550.aa.clipkit	182	0.6887	0.6887	0.0301
103692at147550.aa.clipkit.FT.tre	103692at147550.aa.clipkit	414	0.8003	0.8003	0.1317
104974at147550.aa.clipkit.FT.tre	104974at147550.aa.clipkit	198	0.702	0.702	0.0389
106532at147550.aa.clipkit.FT.tre	106532at147550.aa.clipkit	474	0.8597	0.8597	0.5395
109037at147550.aa.clipkit.FT.tre	109037at147550.aa.clipkit	77	0.6606	0.6606	0.01
11154at147550.aa.clipkit.FT.tre	11154at147550.aa.clipkit	907	0.7477	0.7477	0.1126
106242at147550.aa.clipkit.FT.tre	106242at147550.aa.clipkit	134	0.6435	0.6435	0.0147
101878at147550.aa.clipkit.FT.tre	101878at147550.aa.clipkit	244	0.6635	0.6635	0.0537
106922at147550.aa.clipkit.FT.tre	106922at147550.aa.clipkit	97	0.6456	0.6456	0.0126
11179at147550.aa.clipkit.FT.tre	11179at147550.aa.clipkit	1182	0.7569	0.7569	0.0892
11569at147550.aa.clipkit.FT.tre	11569at147550.aa.clipkit	953	0.6836	0.6836	0.0518
11700at147550.aa.clipkit.FT.tre	11700at147550.aa.clipkit	1542	0.8268	0.8268	0.191
12917at147550.aa.clipkit.FT.tre	12917at147550.aa.clipkit	1674	0.857	0.857	0.0599
11967at147550.aa.clipkit.FT.tre	11967at147550.aa.clipkit	780	0.7356	0.7356	0.0222
12397at147550.aa.clipkit.FT.tre	12397at147550.aa.clipkit	1048	0.7703	0.7703	0.0678
11546at147550.aa.clipkit.FT.tre	11546at147550.aa.clipkit	1362	0.8154	0.8154	0.1359
16303at147550.aa.clipkit.FT.tre	16303at147550.aa.clipkit	981	0.7609	0.7609	0.0173
13759at147550.aa.clipkit.FT.tre	13759at147550.aa.clipkit	1100	0.8183	0.8183	0.058
18587at147550.aa.clipkit.FT.tre	18587at147550.aa.clipkit	772	0.795	0.795	0.0952
26259at147550.aa.clipkit.FT.tre	26259at147550.aa.clipkit	872	0.8472	0.8472	0.1473
12690at147550.aa.clipkit.FT.tre	12690at147550.aa.clipkit	766	0.7895	0.7895	0.0627
13956at147550.aa.clipkit.FT.tre	13956at147550.aa.clipkit	752	0.7422	0.7422	0.0169
26459at147550.aa.clipkit.FT.tre	26459at147550.aa.clipkit	754	0.7081	0.7081	0.02
2299at147550.aa.clipkit.FT.tre	2299at147550.aa.clipkit	1564	0.8212	0.8212	0.0529
17944at147550.aa.clipkit.FT.tre	17944at147550.aa.clipkit	714	0.7262	0.7262	0.0088
19742at147550.aa.clipkit.FT.tre	19742at147550.aa.clipkit	750	0.6905	0.6905	0.0409
13927at147550.aa.clipkit.FT.tre	13927at147550.aa.clipkit	806	0.6922	0.6922	0.0223
11947at147550.aa.clipkit.FT.tre	11947at147550.aa.clipkit	1731	0.8761	0.8761	0.428
21406at147550.aa.clipkit.FT.tre	21406at147550.aa.clipkit	881	0.7777	0.7777	0.0934
21579at147550.aa.clipkit.FT.tre	21579at147550.aa.clipkit	809	0.7974	0.7974	0.1729
11795at147550.aa.clipkit.FT.tre	11795at147550.aa.clipkit	810	0.6824	0.6824	0.0202
15799at147550.aa.clipkit.FT.tre	15799at147550.aa.clipkit	754	0.7033	0.7033	0.0234
24416at147550.aa.clipkit.FT.tre	24416at147550.aa.clipkit	1074	0.8591	0.8591	0.0781
15954at147550.aa.clipkit.FT.tre	15954at147550.aa.clipkit	1019	0.7934	0.7934	0.2123
15532at147550.aa.clipkit.FT.tre	15532at147550.aa.clipkit	846	0.7375	0.7375	0.0199
15369at147550.aa.clipkit.FT.tre	15369at147550.aa.clipkit	1219	0.8371	0.8371	0.1744
2625at147550.aa.clipkit.FT.tre	2625at147550.aa.clipkit	1358	0.8067	0.8067	0.0713
19571at147550.aa.clipkit.FT.tre	19571at147550.aa.clipkit	1453	0.8904	0.8904	0.1707
19227at147550.aa.clipkit.FT.tre	19227at147550.aa.clipkit	1022	0.7956	0.7956	0.2158
15970at147550.aa.clipkit.FT.tre	15970at147550.aa.clipkit	696	0.7408	0.7408	0.0107
14161at147550.aa.clipkit.FT.tre	14161at147550.aa.clipkit	739	0.7223	0.7223	0.0569
24893at147550.aa.clipkit.FT.tre	24893at147550.aa.clipkit	792	0.7821	0.7821	0.0442
18429at147550.aa.clipkit.FT.tre	18429at147550.aa.clipkit	574	0.6798	0.6798	0.0056
24054at147550.aa.clipkit.FT.tre	24054at147550.aa.clipkit	624	0.7042	0.7042	0.0241
27858at147550.aa.clipkit.FT.tre	27858at147550.aa.clipkit	2365	0.9004	0.9004	0.1082
23135at147550.aa.clipkit.FT.tre	23135at147550.aa.clipkit	681	0.7525	0.7525	0.0407
2046at147550.aa.clipkit.FT.tre	2046at147550.aa.clipkit	1593	0.7554	0.7554	0.0526
27492at147550.aa.clipkit.FT.tre	27492at147550.aa.clipkit	805	0.8111	0.8111	0.1352
26559at147550.aa.clipkit.FT.tre	26559at147550.aa.clipkit	584	0.6773	0.6773	0.0251
21344at147550.aa.clipkit.FT.tre	21344at147550.aa.clipkit	690	0.7571	0.7571	0.0551
25794at147550.aa.clipkit.FT.tre	25794at147550.aa.clipkit	511	0.6784	0.6784	0.0064
2548at147550.aa.clipkit.FT.tre	2548at147550.aa.clipkit	1569	0.7583	0.7583	0.0506
28847at147550.aa.clipkit.FT.tre	28847at147550.aa.clipkit	695	0.8325	0.8325	0.3564
25719at147550.aa.clipkit.FT.tre	25719at147550.aa.clipkit	617	0.6811	0.6811	0.0212
23564at147550.aa.clipkit.FT.tre	23564at147550.aa.clipkit	706	0.6835	0.6835	0.0383
17090at147550.aa.clipkit.FT.tre	17090at147550.aa.clipkit	958	0.8113	0.8113	0.0631
28278at147550.aa.clipkit.FT.tre	28278at147550.aa.clipkit	1016	0.7403	0.7403	0.0426
17934at147550.aa.clipkit.FT.tre	17934at147550.aa.clipkit	1430	0.8445	0.8445	0.1013
2641at147550.aa.clipkit.FT.tre	2641at147550.aa.clipkit	1573	0.732	0.732	0.0237
19770at147550.aa.clipkit.FT.tre	19770at147550.aa.clipkit	839	0.8237	0.8237	0.27
21345at147550.aa.clipkit.FT.tre	21345at147550.aa.clipkit	708	0.7152	0.7152	0.1172
27818at147550.aa.clipkit.FT.tre	27818at147550.aa.clipkit	574	0.799	0.799	0.0744
28807at147550.aa.clipkit.FT.tre	28807at147550.aa.clipkit	926	0.8023	0.8023	0.095
26569at147550.aa.clipkit.FT.tre	26569at147550.aa.clipkit	670	0.6965	0.6965	0.0325
25253at147550.aa.clipkit.FT.tre	25253at147550.aa.clipkit	1009	0.8476	0.8476	0.3232
27993at147550.aa.clipkit.FT.tre	27993at147550.aa.clipkit	819	0.7179	0.7179	0.04
28781at147550.aa.clipkit.FT.tre	28781at147550.aa.clipkit	628	0.766	0.766	0.045
21464at147550.aa.clipkit.FT.tre	21464at147550.aa.clipkit	1084	0.7862	0.7862	0.054
21325at147550.aa.clipkit.FT.tre	21325at147550.aa.clipkit	1267	0.7935	0.7935	0.0896
20972at147550.aa.clipkit.FT.tre	20972at147550.aa.clipkit	785	0.7132	0.7132	0.0643
24697at147550.aa.clipkit.FT.tre	24697at147550.aa.clipkit	623	0.7113	0.7113	0.0313
28798at147550.aa.clipkit.FT.tre	28798at147550.aa.clipkit	714	0.7953	0.7953	0.1523
25790at147550.aa.clipkit.FT.tre	25790at147550.aa.clipkit	1159	0.7667	0.7667	0.1572
29636at147550.aa.clipkit.FT.tre	29636at147550.aa.clipkit	740	0.8063	0.8063	0.0664
29266at147550.aa.clipkit.FT.tre	29266at147550.aa.clipkit	464	0.6644	0.6644	0.011
32604at147550.aa.clipkit.FT.tre	32604at147550.aa.clipkit	1009	0.8435	0.8435	0.1982
30256at147550.aa.clipkit.FT.tre	30256at147550.aa.clipkit	552	0.6669	0.6669	0.0219
34105at147550.aa.clipkit.FT.tre	34105at147550.aa.clipkit	595	0.7232	0.7232	0.0437
29765at147550.aa.clipkit.FT.tre	29765at147550.aa.clipkit	654	0.645	0.645	0.022
33796at147550.aa.clipkit.FT.tre	33796at147550.aa.clipkit	827	0.8355	0.8355	0.1491
31972at147550.aa.clipkit.FT.tre	31972at147550.aa.clipkit	676	0.7346	0.7346	0.0572
33464at147550.aa.clipkit.FT.tre	33464at147550.aa.clipkit	679	0.6942	0.6942	0.0237
33456at147550.aa.clipkit.FT.tre	33456at147550.aa.clipkit	630	0.7793	0.7793	0.1037
33360at147550.aa.clipkit.FT.tre	33360at147550.aa.clipkit	756	0.7677	0.7677	0.0641
33917at147550.aa.clipkit.FT.tre	33917at147550.aa.clipkit	519	0.6522	0.6522	0.0255
39248at147550.aa.clipkit.FT.tre	39248at147550.aa.clipkit	488	0.6568	0.6568	0.0113
3444at147550.aa.clipkit.FT.tre	3444at147550.aa.clipkit	1232	0.7965	0.7965	0.0467
32597at147550.aa.clipkit.FT.tre	32597at147550.aa.clipkit	735	0.6682	0.6682	0.0259
35809at147550.aa.clipkit.FT.tre	35809at147550.aa.clipkit	481	0.6659	0.6659	0.0324
33692at147550.aa.clipkit.FT.tre	33692at147550.aa.clipkit	566	0.6977	0.6977	0.0251
